order_id,regime,epsilon,seed,status,saw_submit,completion,score,protocol_max_score,score_ratio,n_subgoals,n_pass_first_check,admissibility,inspect_sum,observed_wall_time_s,wall_time_s,wall_time_policy,candidate_count,source_summary,run_dir
dropped_part1,dropped_part,0.0,0,submitted,1,1,13.0,13.0,1.0,3,1,0.3333333333333333,6,420.0,420.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/gpt-5p2-2025-12-11_dropped_part1_eps_0p0_seed_0
dropped_part2,dropped_part,0.0,0,submitted,1,0,1.0,9.0,0.1111111111111111,2,0,0.0,2,257.0,257.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/gpt-5p2-2025-12-11_dropped_part2_eps_0p0_seed_0
dropped_part3,dropped_part,0.0,0,submitted,1,0,4.0,17.0,0.23529411764705882,4,2,0.5,6,343.0,343.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/gpt-5p2-2025-12-11_dropped_part3_eps_0p0_seed_0
dropped_part4,dropped_part,0.0,0,submitted,1,0,10.0,17.0,0.5882352941176471,4,0,0.0,5,353.0,353.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_150_20260718_165341/v_binary/gpt-5p2-2025-12-11_dropped_part4_eps_0p0_seed_0
dropped_part5,dropped_part,0.0,0,submitted,1,0,1.0,17.0,0.058823529411764705,4,2,0.5,5,383.0,383.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_133_20260718_193913/batch_b/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_133_20260718_193913/batch_b/v_binary/gpt-5p2-2025-12-11_dropped_part5_eps_0p0_seed_0
dropped_part6,dropped_part,0.0,0,submitted,1,0,1.0,13.0,0.07692307692307693,3,1,0.3333333333333333,4,375.0,375.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/gpt-5p2-2025-12-11_dropped_part6_eps_0p0_seed_0
dropped_part7,dropped_part,0.0,0,submitted,1,0,4.0,9.0,0.4444444444444444,2,1,0.5,3,346.0,346.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/gpt-5p2-2025-12-11_dropped_part7_eps_0p0_seed_0
dropped_part8,dropped_part,0.0,0,submitted,1,0,4.0,13.0,0.3076923076923077,3,0,0.0,6,297.0,297.0,observed,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/gpt-5p2-2025-12-11_dropped_part8_eps_0p0_seed_0
dropped_part9,dropped_part,0.0,0,timeout,0,0,0.0,34.0,0.0,8,1,0.125,33,912.0,900.0,timeout_cap,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_strict_resume_127_20260718_205933/batch_d/v_binary/gpt-5p2-2025-12-11_dropped_part9_eps_0p0_seed_0
dropped_part10,dropped_part,0.0,0,timeout,1,0,1.0,22.0,0.045454545454545456,5,1,0.2,17,909.0,900.0,timeout_cap,1,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_valid_rerun_107_20260719_104357/dropped_part10_all/v_binary/summary.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_valid_rerun_107_20260719_104357/dropped_part10_all/v_binary/gpt-5p2-2025-12-11_dropped_part10_eps_0p0_seed_0
