order_id,eps,n_subgoals,n_pass_static_first_check,q0_static,definition
dropped_part1,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
dropped_part10,0.0,5,1,0.2,initial_requirement_truth_match
dropped_part2,0.0,2,0,0.0,initial_requirement_truth_match
dropped_part3,0.0,4,2,0.5,initial_requirement_truth_match
dropped_part4,0.0,4,0,0.0,initial_requirement_truth_match
dropped_part5,0.0,4,2,0.5,initial_requirement_truth_match
dropped_part6,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
dropped_part7,0.0,2,1,0.5,initial_requirement_truth_match
dropped_part8,0.0,3,0,0.0,initial_requirement_truth_match
dropped_part9,0.0,8,1,0.125,initial_requirement_truth_match
faulty_part1,0.0,2,1,0.5,initial_requirement_truth_match
faulty_part10,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
faulty_part2,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
faulty_part3,0.0,4,1,0.25,initial_requirement_truth_match
faulty_part4,0.0,4,0,0.0,initial_requirement_truth_match
faulty_part5,0.0,4,2,0.5,initial_requirement_truth_match
faulty_part6,0.0,4,1,0.25,initial_requirement_truth_match
faulty_part7,0.0,2,0,0.0,initial_requirement_truth_match
faulty_part8,0.0,2,1,0.5,initial_requirement_truth_match
faulty_part9,0.0,2,0,0.0,initial_requirement_truth_match
mix_challenges1,0.0,3,0,0.0,initial_requirement_truth_match
mix_challenges10,0.0,3,0,0.0,initial_requirement_truth_match
mix_challenges2,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
mix_challenges3,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
mix_challenges4,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
mix_challenges5,0.0,3,0,0.0,initial_requirement_truth_match
mix_challenges6,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
mix_challenges7,0.0,3,0,0.0,initial_requirement_truth_match
mix_challenges8,0.0,5,2,0.4,initial_requirement_truth_match
mix_challenges9,0.0,4,1,0.25,initial_requirement_truth_match
normal1,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
normal10,0.0,4,3,0.75,initial_requirement_truth_match
normal2,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
normal3,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
normal4,0.0,4,1,0.25,initial_requirement_truth_match
normal5,0.0,2,1,0.5,initial_requirement_truth_match
normal6,0.0,3,2,0.6666666666666666,initial_requirement_truth_match
normal7,0.0,2,1,0.5,initial_requirement_truth_match
normal8,0.0,2,2,1.0,initial_requirement_truth_match
normal9,0.0,8,2,0.25,initial_requirement_truth_match
priority1,0.0,3,1,0.3333333333333333,initial_requirement_truth_match
priority10,0.0,6,3,0.5,initial_requirement_truth_match
priority2,0.0,8,0,0.0,initial_requirement_truth_match
priority3,0.0,6,3,0.5,initial_requirement_truth_match
priority4,0.0,5,1,0.2,initial_requirement_truth_match
priority5,0.0,4,1,0.25,initial_requirement_truth_match
priority6,0.0,8,6,0.75,initial_requirement_truth_match
priority7,0.0,5,3,0.6,initial_requirement_truth_match
priority8,0.0,7,2,0.2857142857142857,initial_requirement_truth_match
priority9,0.0,8,1,0.125,initial_requirement_truth_match
